IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
2.4266	0.2732	-0.1092	-0.4078	-0.7824	-0.1438	-1.9117	2.4108	-0.3002	-0.7231	0.3350	0.0985	0.5852	-0.0202	-1.2209	-0.1145	-0.6786	0.5977	-0.0046	-0.5481	-0.4692	0.8218	-1.7457	-1.6580	-0.3262	-0.8352	0.1986	-1.7521	0.8088	-1.5094	0.2215	-1.3462	1.4304	1.2124	1.2564	-0.3259	-0.9164	0.1083	0.3098	0.0443	-1.0598	-0.3828	-1.2440	1.8155	-0.4294	-0.9449	-0.9010	-0.7152	0.7663
1.3405	0.4971	0.0662	-0.7399	-0.2187	0.5912	-0.2688	2.4040	1.1608	-1.1667	-0.2756	-0.2558	0.5181	0.1101	-0.4320	0.2497	0.1525	0.2752	-0.5115	-0.3233	0.1383	-0.6799	-1.2893	-1.3422	-0.4314	-0.6349	-0.0653	-0.7596	2.0681	0.3500	0.2232	-0.3889	-0.2229	1.2264	0.3512	-0.1846	-0.5789	0.2280	1.1850	0.8143	-1.6811	0.0670	-1.4907	1.0687	-0.8341	-0.1084	-0.6539	0.2523	-0.0975
1.0414	0.5023	-0.3545	-0.1611	0.3518	0.0465	0.3393	1.6874	0.9304	-0.2385	0.0114	-0.5006	-0.0925	1.3813	-0.3156	0.4078	-0.6190	0.8380	0.4210	-0.4894	1.0228	0.1491	-1.6752	-0.2066	-0.1146	0.2181	0.8051	-0.3519	2.1112	1.3470	0.7975	-0.6517	0.3952	0.1808	-0.2237	0.0570	0.0216	0.4830	0.9567	0.5823	0.7341	0.2035	-1.6827	1.0435	-0.2693	-1.1458	0.8812	0.9526	-0.8767
0.5468	0.0247	-0.9743	0.2100	-0.2684	-0.3016	-0.4541	0.8174	0.5784	-0.6036	-0.2117	0.0154	0.2344	1.0421	-1.2696	-0.7619	-1.1419	0.1972	0.6945	-0.0675	1.2249	0.1764	-1.4267	-0.8419	-0.6793	-0.1329	0.7037	-1.0041	0.7632	-0.1628	1.2356	-0.6464	-0.3530	-0.5226	0.1086	0.1734	-0.5695	-0.1485	-0.8292	-0.4359	-0.5782	-0.7558	-0.9758	0.0601	0.9896	-1.9378	0.4013	0.8740	0.7211
0.3484	-0.8807	-0.0349	-0.6610	0.0306	-0.5182	-0.4694	0.9238	0.8912	-1.4865	-0.4155	0.2204	-0.0408	-0.2186	-0.9886	-1.0229	0.4297	0.2050	0.3423	-0.4629	0.1714	-0.8577	0.1449	-0.9401	-0.0979	-0.5625	0.7862	-0.6181	0.3911	-0.6707	0.8204	-1.4307	0.0624	-0.5439	0.2277	0.2868	-1.3596	0.0065	1.0214	-0.8844	-0.0056	-0.3610	-1.0570	-1.2569	-0.6330	-1.2512	-1.0116	0.4072	0.3435
-0.6536	0.2553	-0.6755	-0.1738	0.4979	0.7479	-0.9592	1.2619	-0.7644	-1.4407	-0.0702	-0.0475	-0.5351	-1.5726	-0.5349	0.1179	0.3170	-0.5278	-1.6514	-0.4250	-0.3321	0.1933	-0.0635	0.0292	1.2338	-0.5578	-0.7044	-0.2412	-0.8544	-0.2213	-0.9237	-1.4720	0.3125	-0.9655	-0.3603	0.5131	0.1854	0.6055	0.9602	-0.1823	-0.7013	0.4246	-1.1362	-2.0643	-0.0547	-0.4224	-0.5749	-0.7698	0.0981
-0.5610	1.2234	-1.6434	-0.2849	0.6159	1.0329	0.1593	1.2165	-1.0590	-0.2582	-0.9928	0.7982	-0.3061	-2.4429	-0.8130	-0.0780	-0.3604	-0.4654	-1.6460	0.0562	-0.6001	0.2797	0.0325	-0.4980	0.4120	-0.1225	-0.0262	-0.2342	-1.3820	-0.5616	-0.7989	-0.0949	-0.1067	-0.4770	-0.3553	0.8433	0.0939	-0.4103	0.0240	-0.4453	-0.7898	0.4231	-0.7644	-1.2702	1.6465	1.2076	0.2506	-1.2666	0.2439
-0.5126	-0.4207	-0.8919	-0.0666	0.3748	0.3671	-0.4282	1.4352	-1.1200	-0.4882	-0.9815	0.0231	-0.2279	-0.5243	-1.2254	-0.2068	-0.4913	-0.3106	-0.3742	0.1088	-0.4209	0.0443	-0.2864	0.8302	1.1089	0.2885	1.5949	0.0223	-1.7211	-0.1284	-0.3386	0.6166	-0.1359	-0.4989	0.0140	0.8776	0.0324	-1.0427	-0.4999	-0.6279	-0.0524	0.2451	-0.7062	-1.2951	2.4275	0.2943	1.0988	-1.0493	-0.6111
-1.8252	-1.0345	-0.4940	-0.5208	-0.4642	0.3204	-0.7999	1.6795	-0.2193	-0.4166	-0.6546	0.6031	-1.2175	-0.4068	-0.7373	-0.4077	-0.4293	-0.4975	-0.2972	-0.6886	-1.5246	-0.7720	0.4096	0.4703	1.1578	-1.7290	-0.1931	0.1121	-0.7914	-0.7144	-0.4988	1.5111	-0.4777	-0.4333	-0.8666	-0.3544	-0.7683	-0.2225	0.2755	0.2414	-0.8182	0.3410	0.6758	-2.2131	-0.0563	-0.3917	-1.7573	-1.5739	-0.3963
-1.4561	-1.4041	-0.0836	-0.0638	1.4560	0.7578	-0.6224	1.2860	-1.1840	-1.4890	-1.3582	-0.0962	-0.3278	-1.9513	-0.3131	-0.2623	-0.8393	-0.7539	-1.1249	-0.1288	-1.9473	-0.0706	2.3459	1.1801	1.7119	-0.1650	-0.7383	0.8235	-2.2461	-1.1313	-0.0069	1.1656	-0.3378	-0.9891	-0.6241	0.8171	-1.2307	-1.5727	-0.4901	-0.8792	-0.5471	0.0686	-0.1540	-1.5549	0.3404	-0.6651	0.3524	-2.4382	-1.4196
