IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-0.0180	1.3791	-0.5457	-0.8471	0.3068	-0.1861	-0.2827	0.5001	0.8499	-0.7717	0.8353	1.0207	0.1706	0.4510	-0.0876	-1.4200	-0.0625	-0.5430	-0.0910	0.6519	0.0997	-0.1774	-0.9280	-0.6359	-0.0390	-0.5332	0.1913	-0.7240	-0.4772	0.7638	-0.5741	-0.2362	0.3866	-0.7605	0.2511	-0.1299	-0.2890	0.0079	0.1443	2.0237	0.9440	0.8282	-0.4807	1.7394	0.8942	1.7045	-0.2885	0.8412	-0.2118
-0.1477	-0.0363	0.2037	-0.2344	0.5652	-0.2134	-0.0637	0.1660	1.7468	-0.4214	0.2348	0.2579	-0.4760	0.5874	-0.2870	-1.7603	0.4693	0.2117	-0.4116	1.1651	-0.3376	-0.4046	-1.4081	0.4662	0.6188	-0.1049	1.5421	0.1810	-0.5192	0.6214	-0.5897	0.5828	-0.7063	-0.5951	0.7080	0.1995	-1.3301	0.3215	0.5904	1.2890	-0.6085	-0.6808	-0.4865	0.3708	0.0292	0.7512	-0.9999	0.4760	0.7101
0.0543	0.6276	0.1677	0.2084	-0.0185	0.5977	0.5956	-0.3694	0.7526	0.5482	0.8649	0.3069	0.0330	0.1782	0.2857	-0.6866	0.5762	1.3567	0.1361	1.3178	0.9463	0.7001	-0.0362	0.1731	0.2293	0.0856	0.9588	-0.0132	-0.6556	1.0583	-0.5927	0.2696	0.8662	-0.1913	0.5949	0.1495	0.4409	0.7160	-0.0811	1.1421	0.1852	-0.3160	-0.9413	0.6773	0.6831	-0.9356	-1.6584	1.5544	-0.5867
0.0302	0.2954	-0.8460	-0.3783	0.4354	0.1955	0.9762	0.0290	-0.0025	0.2519	0.6440	0.0698	-0.4107	0.2963	0.0371	-0.3054	-0.2801	0.7580	-0.2902	0.6593	0.2575	0.7215	-0.2309	-0.3260	-0.4566	-0.9073	0.5170	0.1100	-0.8887	0.5371	-1.1258	-0.2129	0.5035	-0.4544	0.2327	0.0383	-0.7436	-0.2899	-0.1208	-0.2567	-0.4780	-0.2838	-0.4801	0.3709	-0.5104	-1.3802	-1.4503	-0.0824	-0.6452
0.1233	0.0948	-0.8301	0.0024	0.2660	-0.1090	-0.3595	-0.1655	-0.2979	-1.1704	0.5374	-0.7832	0.0547	-0.3653	-0.4714	-1.2126	-0.1451	0.5502	-0.2748	0.2672	0.0063	-0.2407	-0.0533	-0.4481	-0.1976	-0.6471	0.1664	0.3667	-0.3302	0.1429	-1.0786	-0.7076	0.8634	0.1290	-0.4262	0.3197	0.8240	-0.4976	0.1559	-0.3052	-0.6872	0.1125	-0.0646	0.1594	0.5210	-0.4429	0.1453	-0.3133	0.9011
-0.3477	-0.7417	-1.2475	-0.6583	-0.3854	-0.5771	0.4126	-0.3220	-1.3030	0.2382	0.2757	-0.7155	0.4790	-1.0935	-1.1057	-1.3193	-0.9387	-0.0802	-0.6088	-0.2836	-0.3147	0.6315	-0.2949	0.5679	-0.0306	-0.2277	-0.6556	0.1772	-0.8085	-0.2306	-1.1976	-0.5424	-0.6251	-0.0029	-0.3311	0.3328	-0.2497	-0.1989	0.0675	-0.1547	-0.2827	-0.1741	0.3074	-0.6741	0.1402	-0.6013	-0.7089	-1.2321	-0.4632
-0.2555	0.0768	0.0070	-0.2565	0.6525	-0.3145	0.1826	-0.0737	0.1842	-0.1613	0.9248	-0.6310	-0.4286	-0.6404	0.4474	-0.9276	-0.0282	0.6613	-0.5888	0.6438	-0.3632	-0.1381	0.7581	0.2209	0.8375	2.0446	0.9258	0.8144	-0.8574	-0.1855	-0.6749	1.3576	0.5126	1.1652	-0.1154	0.6190	-0.2140	0.8376	1.0071	-0.3576	0.1552	0.4007	0.4131	-0.3700	0.5127	2.1811	0.2661	0.3475	1.2765
-0.1872	-0.7066	-0.4777	0.0851	-0.4750	0.3396	0.2713	0.6663	-0.7641	1.1102	-0.4189	-0.7354	-0.0529	-0.8689	0.0293	-0.5434	0.5590	0.0587	-0.7250	-0.0356	0.6930	0.6242	0.7742	0.8448	0.8006	-0.0011	-1.2558	-0.8838	-0.5172	-0.5085	-0.8367	-0.4713	0.4844	0.1239	-0.4972	0.2714	0.7524	-0.2517	1.5310	0.1571	0.7161	1.1759	0.4100	0.1923	0.2343	0.4962	0.3625	-0.8546	-0.4015
0.1553	-0.1903	-0.8499	0.3940	-0.9449	0.3633	-0.1063	0.1277	-0.3684	-0.2977	0.4058	-0.2956	-0.3685	-0.8157	0.0010	0.0149	0.1917	-0.4960	-0.7731	0.1377	-0.5272	0.2367	0.4930	-0.5805	0.7267	1.3716	-0.6026	-0.1237	-0.7729	-0.0208	-0.7530	-0.8192	0.5308	0.2666	-1.0688	0.7854	0.1187	0.3902	1.9089	-0.0281	-0.0206	0.4743	1.1056	-1.1737	0.5261	0.6941	-0.0156	-2.4091	-0.5209
0.2075	0.2560	-0.7842	-0.0299	-1.4567	-0.6126	0.6452	0.7052	-0.3474	0.4964	-0.2720	0.0114	0.1337	-0.4882	-0.1028	-0.0068	0.3889	-0.1972	0.0063	0.1826	0.1018	0.1006	0.1013	-0.0492	-0.2249	0.4295	-2.0626	-0.2097	-0.3724	0.0403	-0.1325	-0.2205	-0.2855	0.1577	-1.0658	1.0135	-0.1283	0.3593	0.3837	-0.0517	-0.1261	0.1929	0.5784	-0.5175	0.2311	0.9422	0.5399	-1.0555	-1.0426
0.1131	-0.3700	0.2004	0.5533	-0.0239	-0.7578	-0.7375	0.4105	1.5067	-0.1880	-0.6620	0.1645	0.6461	0.3693	0.1869	-0.2676	1.2102	0.5031	0.9986	0.4912	0.3721	0.4136	-0.1629	-0.6842	-0.0373	-0.1081	-0.4130	-0.1109	0.9424	-0.4048	1.0708	0.8158	-0.5386	0.2323	-0.6752	0.9095	-0.7285	-0.4068	-0.4093	-0.1850	-0.5844	0.1115	-0.2406	0.1969	-0.2858	-0.6742	-0.2790	-0.0760	-1.2071
