IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
0.3896	0.1386	-0.5142	-0.4405	-1.2852	-0.5942	0.5381	0.1800	0.0917	0.8753	1.0299	-0.4214	0.0464	-0.1616	-0.0538	-0.3334	0.5609	-1.1160	-0.1977	1.7401	-0.1260	-0.8223	-0.2910	1.2543	-0.5705	0.7267	0.1200	1.0214	-1.1609	0.6107	0.4907	0.2490	0.7081	1.4388	-0.8484	1.2874	1.1694	0.5242	-1.0169	0.0689	-1.2380	-0.6496	1.2140	-1.4175	0.3141	-0.3399	-0.1036	-1.5317	-1.3657
1.5597	0.1009	0.1226	-1.7304	1.0395	-1.9115	2.6371	-0.3719	-0.0478	0.2054	-0.0490	0.3576	-1.0522	-0.9198	1.0211	-1.5556	0.2620	-0.8559	-0.4868	0.2871	-0.6761	1.0280	1.2412	0.3431	-0.2309	0.9317	-2.1066	-0.9389	-0.0966	-0.2574	-0.1540	0.2817	-0.0695	0.8552	-1.5777	-0.6411	-0.3979	0.8462	0.0095	1.4278	-0.1492	0.3306	0.6241	0.4736	-1.2968	0.8713	2.0844	-0.4554	0.2486
0.3381	-0.0000	0.9924	0.1900	0.7752	-0.3289	1.2720	-0.2584	-0.8556	-1.1176	-0.8328	-0.0893	-0.0498	0.7739	-1.0085	0.1342	0.8750	-0.7510	0.1953	-0.9054	1.1946	0.9029	-0.8004	2.0221	0.9201	-0.4345	-0.5095	0.0261	0.6083	0.3813	0.3434	-0.2900	-0.4424	0.4492	-0.4116	1.2403	0.0071	-0.8258	0.5857	0.0374	-0.2838	1.0029	0.1025	0.0049	-0.3529	0.3884	1.2376	-0.9411	-1.6678
0.8665	-0.5480	-0.0825	0.0420	-0.6797	0.6724	0.0805	1.2570	-1.7508	0.4098	0.8171	-0.0299	0.2785	0.4899	-2.5778	-0.2912	0.8836	-1.7849	0.1656	0.5154	1.0553	-1.0693	-0.8252	0.6120	0.4444	-0.2833	-0.6897	0.5328	0.1977	-0.5062	0.6051	-1.8069	0.0448	1.5013	-0.7606	0.8581	1.1503	1.1234	-0.3829	-1.3840	-1.5770	-0.6131	1.6323	-0.5213	0.6831	-0.0200	0.8880	-2.0477	-0.9710
0.3336	-0.2667	0.5414	-0.1601	0.1004	-0.5295	0.5794	1.0358	-0.5363	0.3723	-0.0663	-0.2154	-0.3753	0.9430	-0.1028	-0.3995	1.6299	-0.5597	-0.0576	0.3814	0.1505	-0.2944	1.3284	-0.4068	1.2659	-0.6271	-0.8913	-1.0147	1.4284	0.3978	1.7298	-0.4726	-0.4638	-1.3431	-0.7428	-0.3495	-0.4736	0.3914	0.6994	-0.0057	-0.6511	0.7824	1.1150	-0.0211	0.3747	0.9612	0.6427	-0.6273	-0.6061
0.5193	-0.2186	-0.2338	-0.5502	-0.2140	0.2095	0.3529	0.9484	-1.4493	-0.5370	1.3323	1.2501	0.2662	1.2677	-0.7192	0.4946	0.7767	-0.3169	-0.0768	0.2990	-0.8667	0.7470	0.1968	0.0941	0.1647	0.0385	-0.2223	0.0613	-0.2810	0.7823	1.1826	-0.1415	-0.1374	-0.9127	-1.5549	0.3609	0.0159	-0.0110	0.1237	-0.1454	0.7521	-0.0622	0.9686	-0.6182	-0.3012	1.2153	1.0098	-0.3258	-0.2828
-0.6800	0.1963	0.1268	0.2394	-1.3813	0.2027	-1.0622	-0.0581	-1.4622	-1.0166	0.8743	-1.2702	0.0952	1.1073	-2.0864	0.7191	0.9066	0.0792	-0.6663	-0.5569	0.2668	-0.5913	-0.3164	0.4474	-0.7999	-0.5126	-0.1992	1.5324	-0.0734	1.8085	-0.3636	-1.7116	1.2423	-0.6112	-0.8772	0.8255	1.5566	0.2335	1.8061	-0.5130	0.3408	1.5726	0.1868	-1.8225	0.6664	-0.6368	0.2272	-0.5956	-0.0854
-0.2077	0.3706	-0.2830	-0.1952	-0.7330	0.2846	-0.9662	0.1679	0.8023	0.9027	-0.1951	-1.0868	1.0846	-1.2360	-0.5683	-0.2873	-0.5563	-0.0674	0.9552	-0.2577	-1.0117	-0.9560	0.8524	-1.8340	-0.0214	-0.6954	-0.3535	1.4203	-0.7117	0.9305	-0.6150	-0.6805	0.3796	-1.3470	-2.1622	0.0697	-0.2190	-0.3042	2.3148	0.5557	0.2830	-0.1908	0.0551	-0.8013	-0.0049	-0.4781	1.0656	0.3692	-0.4320
0.3865	0.8590	0.2297	-0.6705	0.0859	0.0418	-0.5142	-0.1074	-0.0841	-0.7586	-0.3289	-0.5901	1.2331	-0.7164	-0.6785	0.3202	0.0510	-0.6171	0.1542	-0.0536	0.6275	0.6488	-0.3320	-1.9210	0.6935	-0.3727	0.8147	0.4983	-0.3116	1.9557	-0.6868	-0.5397	0.0426	-1.5062	-0.5977	0.7799	-1.0468	-0.8657	0.7081	1.0655	0.7327	0.8439	-1.4747	1.5333	0.1718	0.3817	-0.0643	-0.0407	0.2576
-0.7680	1.3311	-0.4555	1.7014	0.5690	0.6566	-0.9452	0.7969	0.0062	-0.8834	-1.3601	0.0761	1.3236	-1.4740	0.6458	0.7797	-0.6847	-0.3966	0.9721	-0.9604	-0.3938	0.6982	-0.3682	0.3537	-0.0554	0.2023	-0.0475	0.0762	-1.1625	0.7052	-1.1119	1.1843	0.9397	0.4972	-0.6180	-0.4135	0.1993	-0.9976	0.1222	-0.0272	1.7447	0.5946	-0.9733	0.3977	-0.1439	0.8032	-0.5456	-0.8547	-0.6665
