IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
0.8853	-0.3919	-0.4363	-0.6490	0.3795	0.7092	-0.3782	-0.7363	-1.2314	0.2831	0.8285	-0.3016	-0.1574	-0.0576	-0.2711	0.7495	0.5447	0.6008	0.2704	0.4451	1.4392	0.4296	-0.2636	1.2419	0.7742	-0.3599	0.2511	0.5372	0.5697	0.6302	-0.2439	-1.1658	-0.0920	0.6073	0.1986	0.9562	0.8644	1.6793	1.2012	-0.3423	0.5620	0.3706	0.4969	0.1760	0.3017	-0.7157	0.8856	-0.6071	-0.5074
0.5071	-0.0499	-0.2689	-0.3457	0.4216	0.5021	0.4081	-1.0663	0.3700	0.4557	0.1952	0.6145	0.3540	0.2683	0.7890	0.3178	0.7139	0.4918	-0.3040	0.7232	1.1180	-0.4024	0.3860	0.0548	0.4543	0.4067	0.1587	0.7953	0.3620	0.1945	-0.2469	0.4971	0.2648	0.7946	-0.4374	0.9032	0.3783	0.5808	0.9290	1.3548	0.4210	-0.2603	0.8092	0.3370	0.7411	0.5706	0.2176	-0.6412	-0.3928
-0.3076	-0.0464	0.1538	0.6755	0.3152	0.7301	0.4307	-0.6414	-0.1195	0.4968	-0.1125	0.3174	0.9325	0.2363	1.4858	1.2880	1.0476	0.7952	0.5130	0.3178	1.2163	0.9956	0.0996	0.2938	1.0300	0.8942	1.0377	0.7520	0.3395	0.6604	-0.4218	0.1686	0.7088	0.6997	0.4327	1.0454	0.3236	-0.5446	1.1574	0.4268	0.7083	0.6258	0.4165	0.8406	1.1340	1.4190	0.8850	0.4118	-0.4954
0.7922	0.3794	0.0292	0.0909	-0.1916	-0.2767	0.6984	-1.0251	0.2326	1.6316	1.0604	0.9245	0.2407	0.2371	1.1257	0.2115	0.3469	0.5698	0.0534	0.5542	0.7961	-0.2079	-0.3997	0.8975	0.8255	0.5381	1.1741	0.8843	0.8397	0.8427	-0.3619	0.7432	0.6790	1.1395	0.1794	-0.2156	1.3409	0.9323	1.2074	0.7767	0.4976	-0.2572	0.8439	1.4389	0.3522	1.3440	0.1598	0.8865	0.1831
1.0838	-0.1792	-0.3495	0.6713	-0.3584	0.3164	1.2348	-0.9445	0.0775	0.5997	1.8770	0.1979	0.4036	-0.2952	0.6140	0.3526	0.2893	-0.1737	0.5509	-0.0949	1.1150	0.2976	-0.0137	0.6054	-0.1889	0.4244	0.8983	0.4034	1.4189	0.8513	-0.1635	-0.3042	-0.2429	0.0537	0.0326	-0.2662	1.7063	1.2454	0.8889	0.4014	1.6041	-0.8791	0.9779	0.8927	0.9642	0.1164	-0.8840	1.3710	-0.7344
0.1823	-0.4698	-0.3564	1.1861	-0.6919	0.1513	0.0401	-0.1765	0.5394	0.4511	1.1046	-0.0886	0.1102	-0.0668	0.0993	-0.2857	0.6894	-0.1413	0.2599	-0.1992	1.6547	-0.2379	0.1100	0.0289	0.1652	-0.1927	1.2639	0.2192	1.3052	1.2050	0.3419	0.2367	0.0903	-0.6022	0.2311	-0.1775	0.8009	0.3770	0.3676	-0.5204	-0.0259	0.2917	0.5209	0.8492	0.9062	0.0664	0.3002	0.5442	-0.5709
1.3076	-0.7543	-0.8362	0.3443	-0.4181	-0.1366	-0.0161	-0.5224	-0.5264	0.7678	0.9594	-0.4467	-0.1013	-0.3697	-0.7555	-0.5291	-0.3843	-0.4109	0.1895	0.0180	0.6453	-0.3310	0.0817	0.3333	-0.1690	-0.2170	0.0277	-0.4718	0.9455	-0.2850	-1.3426	0.2262	-0.4456	-0.1423	-0.4891	-0.6434	0.7802	0.0120	0.4102	-0.9108	0.2233	-0.4869	1.0050	-0.1500	-0.2153	0.8966	-0.1688	-0.6745	-0.6994
0.5696	-0.9270	-0.8123	0.7000	-0.4758	0.1699	-0.0193	0.4540	-0.2110	0.2715	0.0987	-0.3676	0.4887	-0.3460	-0.9710	0.1244	-0.0033	-0.5157	0.0190	0.0843	-0.0740	-0.5803	0.1034	-0.3542	0.2418	0.0378	-0.4553	0.3890	0.1362	-0.3290	-1.0092	-1.1966	-0.5132	-0.8398	-1.0148	-0.0234	0.1566	-0.2914	0.6900	0.0066	-0.2845	-1.4490	0.8598	-1.1840	0.4303	0.1304	0.2750	-0.6154	-0.4007
-0.1564	-0.0112	-1.4091	0.4336	-0.3643	-0.3056	0.2472	-0.1353	-0.5295	0.7875	0.9665	1.0517	0.6347	-1.2025	-0.7747	-0.4356	-0.9147	-0.3559	-1.6228	-0.1793	-0.8593	-0.7653	0.2260	0.0878	0.4500	-0.1213	-0.4227	-0.2703	-1.8201	0.3855	-0.9558	0.9249	-0.6714	-0.1384	-1.6897	-0.2843	0.0964	1.3083	0.5002	-0.5421	1.0214	-1.7628	1.0815	-0.7911	-0.4069	0.8804	1.6579	-0.8015	0.5955
-0.4471	0.1324	-0.0058	1.0154	-0.4025	-0.0437	-0.9174	-0.4142	-0.8445	0.4000	-0.8657	-0.8721	0.0662	-1.1119	-0.5126	0.2235	-0.0473	0.2380	-1.0352	-0.8259	-0.3136	-0.1446	0.0680	-0.4271	0.2000	0.0754	0.1120	0.0000	-1.4174	-0.0624	-1.0105	-0.3048	-0.2895	-1.7851	-0.5548	0.1001	0.0454	-0.4010	0.3986	-0.7276	0.6012	-0.2568	0.3964	-0.9891	0.7926	0.6099	1.2474	0.4137	0.8560
