IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
0.5705	-1.0689	-1.5099	-0.5255	-0.0519	0.6849	-1.2750	-1.8634	-1.8954	0.1358	-0.8161	-0.7819	1.9989	1.0877	-1.2949	-0.8762	0.3669	-0.5532	0.3996	-0.8731	0.9732	0.4142	-1.4487	-0.2012	-0.4158	-0.8341	0.2026	-0.6104	0.3201	-0.7926	0.4624	-1.3834	-0.6672	0.6051	0.2441	-0.8989	0.5583	0.2949	-0.2542	-0.5387	-0.2355	-0.0666	-0.3880	-0.5189	-0.0737	-0.8127	0.0219	-0.0744	-1.2546
-0.1586	-1.0803	-1.0284	-0.3399	0.1563	0.5905	-1.2822	-2.1199	-1.1304	-1.0896	-0.6373	0.4158	1.2361	0.5700	-2.0019	-0.8502	0.7430	0.3303	0.0893	-1.0368	0.5867	-0.6946	-0.7676	0.0900	-0.0883	-0.1031	0.5570	-0.5774	0.5261	0.1119	1.0707	-0.3264	-0.0091	0.4756	0.8539	-0.3753	0.0285	0.4402	-0.5417	0.3867	-0.5543	-0.0435	-1.1904	0.0519	1.1018	-0.3745	-0.3809	-0.1065	-2.3192
0.0823	-1.0210	-0.8947	0.6531	-0.1703	-0.1579	-1.0025	-2.2203	-0.1960	-0.2840	-0.8972	0.7347	1.8615	0.6842	-1.1094	-0.1211	0.1526	-0.1050	0.8938	-1.6726	-0.1175	-1.6780	-0.3791	0.1930	-0.3243	-0.8032	-0.1326	-1.4981	0.3356	-0.4414	1.0062	-0.4238	0.3406	0.4141	1.0457	-0.7300	-0.8537	0.0849	0.3006	-0.2854	-0.7970	0.1722	-0.3040	0.0703	-0.0049	0.5743	-0.0884	0.2286	-2.4569
0.4301	-1.6526	-0.1216	-0.0587	0.2154	0.6899	-0.5089	-1.7501	1.0433	-0.9068	-1.2500	0.5464	1.7280	1.8711	-0.4507	1.1059	0.4411	-0.3817	1.2825	-0.9784	-1.1957	-2.0863	-0.4112	-0.9180	0.0363	-1.7362	-0.2336	-1.3971	1.2607	0.1338	1.0486	-0.1191	0.1484	0.5043	1.1288	-1.0628	-2.4183	0.4694	0.0866	0.4038	-0.6279	-0.3097	0.2131	1.1701	-0.8893	0.7784	1.0002	0.4915	-1.1328
0.7792	-0.1681	1.3069	-0.6889	0.7949	-0.3053	-0.4883	-2.1819	-0.0594	0.1141	-0.2854	1.2187	-0.5472	1.6268	-1.0948	0.0747	1.3527	-0.0915	1.2995	-0.3096	-0.2886	-1.5586	-1.6436	0.4408	0.4847	0.2714	0.0143	-1.1168	1.8618	-0.8302	1.9289	-1.0533	-0.7321	1.1306	1.1903	-0.5086	-0.7731	0.8700	-0.1871	1.1613	-0.4995	-0.9211	0.2472	-0.3415	0.0870	-0.3930	1.2665	0.3727	-1.6413
0.7020	0.7689	0.3946	-0.7194	0.5037	-0.1871	0.2694	-1.8563	0.9488	-1.0572	0.8508	1.1546	-1.8149	1.0587	-1.2152	-0.7253	1.8523	-1.0471	0.5578	0.4857	-0.5113	-1.7239	-1.8230	-0.3348	-0.4333	-0.2157	-1.7285	-0.6862	0.7233	-0.4514	1.4602	-0.0778	-0.3165	0.5312	-0.0882	-0.2265	0.6216	0.6829	0.4371	0.2976	-0.4545	-1.1081	0.6398	-1.1691	0.1515	-0.9294	0.6365	-0.9162	-0.5019
0.3128	1.2688	-1.2076	-1.0826	0.1109	-0.3840	1.3313	-0.8869	0.3415	-0.5139	1.1350	1.4637	-1.4269	0.9603	0.7310	-0.7977	1.1477	-0.6059	-0.6461	1.0331	-1.7269	-0.8239	-0.7340	-0.6986	-0.4203	-1.4026	-2.1482	-0.8721	-0.9142	-1.8230	1.1244	-0.2484	2.0580	0.0254	-1.4466	-0.9185	-0.6231	0.0154	-0.3612	-0.7899	-0.6546	-0.6790	0.4631	0.0245	0.5460	-0.2442	0.4293	-2.2642	1.0939
0.9643	-0.3969	-1.5625	0.3628	0.2101	-0.7635	0.7219	-0.9929	-0.3982	0.5692	1.6993	0.4994	-0.7137	0.7491	-0.7830	-1.1374	0.4485	-0.3111	-0.6627	0.9907	-0.4999	0.4029	-1.5803	-0.3636	-0.4245	-0.3311	-1.3721	-0.2358	-1.2618	-2.0911	0.2791	-1.2846	0.7562	-0.3258	-1.0073	-1.1443	1.0098	-0.2046	0.2912	-0.7402	0.3712	-1.8886	0.5854	-1.1291	-0.3297	-1.4908	-1.8941	-2.5836	0.3903
-0.1761	-0.7233	-1.1377	0.1380	-0.3601	0.4880	0.0590	-0.7007	-0.6518	1.2140	0.4508	0.0175	0.6898	0.3798	-0.5726	-0.4772	0.3064	-0.9247	-0.3957	-0.3295	0.9253	1.4361	-0.6416	0.7671	-0.0209	-0.0382	-0.4584	0.0592	-0.2020	0.0342	0.5354	-0.4452	0.4951	-0.4141	-0.0849	-1.0574	0.3870	0.4035	0.0518	-0.4558	0.8685	-1.1936	0.3486	0.1952	0.2902	-1.2579	-0.5694	-1.3611	-0.8784
-0.1934	-0.5496	-0.5515	0.5209	-1.3803	1.0392	0.3063	-0.7509	0.8589	-0.9666	0.0038	-0.1534	0.8314	-0.3138	0.3880	0.0320	0.1473	-1.0816	0.1167	-1.6701	1.1197	0.1076	-0.9285	0.0298	0.0604	-1.3161	0.2358	0.9310	0.8379	-0.2842	-0.2766	-0.6800	-0.0478	0.0158	-0.1889	-0.0542	-1.1727	-0.1599	0.8115	0.6707	0.4985	-1.7162	0.4045	0.7804	1.1060	-0.2113	-0.0672	-0.4337	-0.7371
