IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-0.5282	2.6779	-1.9790	1.2050	1.6440	-0.7077	-1.0693	-3.8771	-1.3314	-0.0114	-1.4551	0.2289	0.8059	-0.7988	1.2950	-1.6493	0.0277	0.3652	-1.3034	0.8311	-0.2456	-0.8990	0.2638	-0.8089	0.0588	-0.4064	-0.3706	-0.3093	-0.0111	-0.4522	0.1512	-0.9165	-1.0015	0.3709	-0.6491	0.1680	-0.5351	0.2938	-0.8393	0.4076	-0.6357	0.1508	-0.0467	0.4997	0.8623	0.2547	-1.6433	-0.1785	0.2571
-0.3521	2.4787	-2.6633	1.2108	1.3885	-0.3447	-1.1349	-3.2144	-0.9379	0.4911	-1.0371	-0.3724	0.9450	-0.3668	1.0992	-1.2303	-0.8223	-0.5454	-1.3268	-0.7021	-0.5443	-1.1790	0.2540	-0.6247	0.3775	-1.9050	0.3037	0.5565	-0.2002	-0.7042	0.1541	-0.2842	0.8028	0.0499	-1.2565	-0.5368	0.1634	0.2965	-0.7079	0.5352	0.0515	-0.0985	-0.3316	-0.4476	0.6108	-0.3391	-1.2714	0.3368	-0.4994
-0.5479	1.5672	-1.2450	0.5197	-0.5680	0.4026	-0.3441	-2.5761	-0.6146	-0.0886	-1.0683	-0.3906	-0.2627	-0.6564	-0.9293	-1.5726	0.0336	-0.1714	-0.4679	-0.7032	-0.2307	0.0338	0.9582	0.7602	0.6331	-1.4678	0.2536	0.2213	-0.3463	-0.4067	-0.7126	0.3432	1.0308	0.3048	-0.3026	-0.2679	1.6806	0.3513	-0.5124	-0.1862	-0.9484	0.9739	-1.4292	-0.6074	-0.2096	1.2778	-0.1870	1.1739	-0.2708
-0.5735	-0.4299	-0.7234	-0.4699	-2.1611	1.1997	0.6095	-0.6513	-0.2064	-1.1641	-0.8577	0.4244	-0.8294	-0.3063	-1.9865	-0.5613	-0.1842	0.1849	-0.1088	-0.1320	-0.3295	-0.5384	0.7538	-0.2966	-0.0475	-1.2891	-0.0301	-1.1806	-0.2911	-1.0639	-0.1178	-0.6500	0.4807	-0.1516	0.2172	-0.6109	1.8941	0.2501	-0.3665	-0.0651	-1.2064	-0.4437	-0.1732	-1.1719	-1.3462	1.6317	0.0289	0.7062	0.0226
-1.3250	-1.9059	0.9788	-1.5136	-1.7811	0.0144	-0.4258	-0.8217	0.6455	-2.4323	-0.4671	0.0226	-0.2203	0.6610	-1.7509	0.0430	0.7514	0.4970	0.4177	-0.0383	0.9355	-0.8767	0.6897	-2.1318	0.3823	-0.7987	0.7714	-0.8460	0.4756	-1.8889	-0.3075	-0.7253	-0.1271	-1.3658	1.0617	0.7750	-0.8612	0.3215	-0.1211	-0.0925	-0.9487	0.5052	-0.0181	-0.0303	0.6499	-0.4603	-0.5888	-0.3696	-1.1923
0.4921	-0.9426	0.1891	-1.2681	-0.0399	0.4964	-0.6151	-1.2634	1.5827	-0.4157	0.1637	0.5423	0.0348	0.7001	0.2391	0.0456	0.7488	-0.2715	1.1863	0.4030	1.0739	-0.8950	0.2956	-0.9399	0.3166	0.4439	0.3189	-0.1078	0.5466	-0.7781	0.8810	-0.6251	0.0370	-0.1427	1.0164	0.1860	-0.4190	1.4468	0.7752	1.1269	-0.6268	-0.2059	1.1428	0.6618	0.0796	0.5783	-0.0425	-0.0411	-0.6448
1.2333	0.0107	1.3211	-2.1168	0.1644	-1.1864	-0.7044	0.3897	-0.1402	-0.1897	0.8026	1.0776	-1.0784	1.6389	-0.1940	-0.0594	0.7000	1.4137	0.7602	0.4006	2.8792	1.2661	-0.8780	-0.7441	1.8415	0.7052	0.4955	0.4844	1.1448	-1.0780	0.4203	-0.4938	-0.5604	-0.0455	1.4713	0.7396	0.0134	0.2305	1.1078	1.2217	-0.4028	1.8882	0.6474	0.8303	2.1798	0.8292	0.9252	0.5649	-0.0426
0.9611	-0.5985	-1.0139	-0.2011	1.0645	1.8041	0.2724	-0.0625	-0.0474	0.7228	-0.2324	0.9153	-1.4365	1.0083	-0.9456	1.0770	0.3600	1.1338	0.1209	0.6941	0.4762	1.0265	-0.4311	1.4074	0.6275	0.9264	-0.2304	-0.4289	-0.0963	1.1843	0.6183	0.7239	-0.1187	0.3662	0.5936	-0.1197	-0.1658	-0.6061	0.7801	0.3318	-0.4169	-0.3421	0.8571	-0.8196	-0.6550	1.3238	1.0021	0.0087	-0.3851
-0.3881	0.4936	-0.5219	0.4676	0.6677	1.4728	-1.1028	0.3855	-0.6475	-0.0349	0.7382	0.2656	-0.6086	0.7543	-0.0377	0.4275	0.6293	0.4694	-0.5836	-0.3587	-0.1823	0.8658	-0.5469	0.7026	0.3070	1.3686	-0.0816	-0.8959	-0.7750	1.1218	1.4141	0.0048	0.3673	-0.3810	0.3358	0.5314	-1.1282	-1.2995	0.0728	-0.3504	0.7488	-0.2824	0.2961	-0.3872	0.5954	-0.8267	0.9076	-0.0023	-0.7119
0.5723	0.7939	0.0790	0.0088	0.7902	0.1654	-1.4370	0.1871	-0.0899	0.1653	-0.0998	0.0849	-0.5839	0.2902	0.0021	1.0762	0.6600	-0.4691	-0.3456	1.0109	-0.8154	0.6079	-1.8345	0.4892	0.0314	1.3086	-0.0358	-0.3269	-0.7010	0.5561	0.4703	1.2008	-0.8363	0.6192	0.0195	0.5309	-1.2999	-0.5643	0.4939	-0.5171	0.6988	-0.1771	0.5205	0.8228	0.4609	-0.3421	1.7620	0.0975	0.6920
