IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-1.0737	0.6615	-0.5110	-0.6301	-0.4354	0.3790	-0.0030	-0.5775	-1.1319	0.2372	0.8425	-2.1336	-0.2171	-0.4811	-1.6964	0.2461	-0.4172	-1.4559	-0.8787	0.3526	1.2648	-0.2473	-1.2058	0.8971	-0.5183	-0.4284	1.5247	0.8832	-1.3557	0.6924	-0.7197	-0.2888	-0.0463	-1.4612	-1.0849	-0.0680	0.1357	-0.5380	0.1977	-0.2040	0.0235	-0.1432	0.0188	-1.1120	0.6720	-0.4011	-2.3354	0.3966	-1.2206
-1.3953	0.6518	-0.6845	-0.3989	-0.1917	-0.8597	0.0204	-0.1079	-0.9191	-0.2318	1.0777	-2.6745	-0.5924	-0.9144	-0.3927	-0.7363	0.3016	-1.2871	-0.1435	-0.1533	0.2722	-0.6702	0.2667	0.1003	0.0203	-0.2936	1.0278	-0.1922	-1.4744	-0.4044	-0.5485	0.4860	0.2810	-0.7431	-1.6544	-0.0656	-1.0241	0.5696	-0.2864	0.3781	-0.1192	0.0057	-0.0800	0.5412	0.4229	1.1438	-0.2501	0.2987	-0.5222
-2.6515	0.4184	-0.3667	-0.1298	-0.4496	-0.2307	0.5714	-0.9422	-1.6644	0.7786	-1.0304	-2.2187	-0.1715	-1.6179	-0.7097	-0.1067	-0.2792	-1.0560	0.4565	-0.3772	-0.9484	0.1715	-0.6192	0.3796	-0.6269	-1.0559	1.0229	-0.1300	-1.1513	0.8888	-1.3502	-0.2017	-1.0078	-0.9340	-1.5123	0.3238	-0.7297	0.0355	-0.5032	-0.3198	-0.0827	0.6247	-0.2288	-0.7772	0.3777	0.3844	-0.2773	-0.7057	-0.6163
-2.2837	0.1686	-0.0771	-0.6119	-0.6132	0.9002	-0.3874	-0.8441	-0.6085	-0.4642	-1.1880	-1.1671	1.0537	0.1443	-1.2903	0.8589	0.1395	-0.9167	-1.0154	0.4266	-0.0679	0.5231	-0.4185	0.6156	-0.0862	-1.4541	1.2416	-0.1456	-0.5477	1.1202	0.2333	0.1083	-0.8730	-1.4671	-1.2708	1.0064	0.1938	-0.5693	0.0209	-0.0502	-0.0373	2.0201	0.4218	-1.8567	2.0124	-0.6754	-1.5514	-1.1138	-1.7472
-1.8412	-1.5878	0.2635	-0.2181	0.2834	-0.8573	-0.2610	-0.7420	-1.0645	-0.0495	0.1025	-1.6949	0.2403	-0.2833	0.2102	-0.3226	0.9759	-2.0679	-0.7809	-0.1670	-0.8979	-1.3061	-0.3250	-0.8926	-0.7516	-1.1901	0.5582	0.0334	-0.3713	0.1004	0.4807	0.6195	-1.2208	-0.3623	-1.4260	0.4574	-1.2363	-0.0020	-0.5642	-0.1962	-1.2428	0.2417	0.3007	-1.6935	0.4820	-0.1211	-0.3894	-0.2116	-1.5308
-1.9208	-1.7066	-0.0783	1.0347	-0.1941	-0.3999	-0.0422	-1.0553	-2.4395	0.8004	-1.5854	-1.9417	0.7286	-0.5757	0.0887	1.4301	0.6093	-2.4639	-0.5068	-1.0616	-0.5236	-0.5810	-1.0502	-0.0138	-1.4764	-1.3023	-0.0082	-0.2325	-0.5247	1.0931	-0.4507	-0.3109	-0.9134	0.1960	-1.1545	0.4402	-1.5354	-0.3094	0.4854	-1.1795	-1.6210	-0.6644	-0.3210	-1.2243	0.6945	-0.1531	-0.7649	-1.2572	-1.3380
0.5221	0.0691	0.1801	-0.4675	-0.2422	-0.4004	-0.1292	-0.4165	0.1821	-1.2866	-1.0354	1.9138	-0.3508	-0.3060	0.8637	-0.0333	1.1470	0.5152	-1.0059	-0.4293	-0.0535	0.4509	0.4832	-0.1391	0.6103	-0.2868	-0.2721	0.1135	-1.5641	-0.6879	-0.6393	0.9945	0.4109	-0.3878	-1.3996	0.3627	-1.6300	0.7635	0.0319	-0.5153	-0.4819	-0.5835	-0.2372	0.2805	0.4425	0.5000	-0.5226	-2.0023	-1.1406
0.1679	0.1073	0.5075	0.9035	0.1967	0.0192	-0.5054	-0.5181	0.0615	-0.4540	-0.8082	0.4150	-0.1859	0.1698	2.2039	-0.3724	2.3170	0.9677	-0.1314	-0.8041	0.0807	0.5065	0.9735	-1.7093	1.1257	-0.6850	0.4824	0.7414	-0.6823	0.0055	-1.4428	1.0351	-0.1056	-1.1947	-0.1799	1.0994	-1.8844	0.0306	0.6651	-0.9247	-0.2549	1.1026	-0.7185	0.0667	0.9146	0.7336	0.0621	-0.4604	-1.0497
-0.0990	0.5142	-0.0643	1.6034	0.6115	1.4017	-0.1387	-0.6954	-1.1045	1.3991	-1.5025	-0.2454	0.1981	-0.2550	2.0764	1.1433	1.2040	0.2203	-1.0932	0.0645	-1.3264	0.8845	-0.5185	0.1079	0.6204	-0.4190	0.5785	1.3810	-1.7547	0.8190	-0.6223	-0.0527	0.1383	-0.9106	-0.7315	1.7313	-0.0576	-0.4173	0.0113	-0.0806	1.0188	0.7933	0.1332	0.2670	1.3968	0.3025	0.4025	-0.6488	0.2717
0.4445	-0.0590	-0.1548	-0.2770	0.1211	0.4138	0.3418	1.0566	-0.3610	2.0888	-1.1684	1.3631	-0.2459	0.0465	1.0357	0.6695	-0.0320	-0.0140	-1.6871	0.6737	-2.1435	-0.0798	-0.7369	2.3603	0.6171	0.7898	0.7396	1.9445	-2.1625	-0.0471	1.6821	-0.2988	1.3735	0.2762	-1.1625	1.5059	1.1099	1.5071	0.3408	0.1521	0.0714	-0.1581	1.7409	-0.7409	0.3333	0.7872	-0.4256	-0.4259	0.5877
