IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-0.6697	1.8447	-1.4238	0.0855	-1.4150	1.4701	0.6113	0.0427	1.1683	0.8510	1.8189	0.1767	2.0592	0.6772	0.1865	1.2489	-0.2260	0.9007	0.1621	1.1300	1.0154	0.7514	-0.1549	2.5810	0.4606	0.5080	1.9494	0.6249	0.6368	1.6441	-0.6244	-0.6236	0.9273	1.4709	1.2598	0.5946	1.9629	0.5107	0.4585	0.8071	1.0200	0.9535	0.5804	0.4236	1.1069	0.5664	0.3133	2.0678	0.1705
-0.6431	0.3979	-2.3569	-1.0808	-2.0160	-0.1273	0.4295	0.3276	-0.0581	0.3012	0.6220	0.3524	-0.0332	0.2063	-1.7114	-0.8726	-0.4133	0.3245	0.2372	0.1846	1.7581	0.8719	-1.6953	1.2595	-0.6539	-0.7068	0.9250	-1.2021	1.4566	0.0717	-0.6415	-1.6341	0.3673	0.3380	0.9487	-0.6508	1.4282	-0.3097	0.6430	-0.2018	-0.0165	1.5832	-0.2327	-0.6596	1.3036	0.1173	-0.8807	1.3448	0.0797
-0.5188	-1.2220	-0.1966	-1.2334	-0.8521	-1.7219	-0.7785	0.4937	-0.4081	-0.0201	-0.6832	-1.4716	-1.8438	-1.3830	-1.3805	-2.2864	-1.8679	-1.1845	-1.1033	-0.8850	-0.1638	0.1539	0.3391	-0.1586	-1.9101	-0.3358	-0.6696	-1.6349	-0.2658	-0.4460	-1.2853	-0.5433	-1.0822	-0.8772	-0.1202	-1.8300	0.5030	-0.3115	-0.8137	-1.8562	-0.5640	0.9212	-1.7714	-1.3746	-0.4281	0.0617	-0.4753	0.6218	-0.7090
-0.7418	-1.0643	-0.1998	-1.6192	-0.2984	-1.9406	-1.4257	1.0232	-0.4024	-0.5330	-1.6677	-1.6346	-1.8534	-2.6397	-0.9831	-1.3895	-2.0982	-1.5359	-1.5782	-1.8548	-1.0623	0.0751	0.5871	0.6912	-0.9469	-1.4191	-1.3460	-1.0915	-1.3237	-1.0337	-1.2919	0.3735	-0.9865	-1.1269	-0.6370	-1.3444	0.1408	-0.7308	-1.2338	-1.8954	-0.7675	0.4791	-1.7139	-0.4524	-1.3457	-0.3276	-0.4779	-0.7867	-1.4967
-1.0040	-0.6548	-0.7115	-1.0083	0.0391	-1.7287	-0.1636	0.2624	-0.7690	-2.0078	-1.2110	-2.1131	-0.8181	-0.4250	-1.0036	-1.5873	-0.1531	-1.1740	-1.3490	-1.1007	-1.0321	-1.1656	0.0508	-0.3414	0.5367	-1.0553	-1.2544	-0.4821	-0.1454	-0.6863	-0.7941	-0.7455	-0.1057	-2.0979	0.1664	0.3652	-1.3236	-0.3270	0.4712	0.2799	-0.4887	0.8131	-0.4171	-0.8268	-0.2105	-0.4982	0.4795	-0.5525	-0.0786
0.0099	0.4107	-1.4047	-0.9818	0.6066	-0.8118	-1.0509	-0.6527	0.0945	-0.0983	0.9677	0.3062	0.0453	-0.1705	-0.6871	-0.7115	-0.1928	-1.7875	-2.1503	-0.0769	-0.4626	-2.2141	0.5071	-1.6167	0.5782	0.9505	-0.5101	-0.3725	-0.1372	-0.1609	-1.2624	0.3176	-0.6590	-0.0776	0.2414	0.2748	-0.5062	2.0810	0.3077	-0.2681	1.0122	-0.4836	0.5536	0.3116	-0.4448	0.3454	1.4214	-0.1971	0.0420
1.5925	1.2915	0.0804	0.7123	0.8048	0.9598	0.1066	-0.8769	0.7125	1.0692	0.8241	1.7587	0.1497	0.2953	0.2951	-0.3731	0.8571	-1.5952	-0.5987	0.6975	1.6409	-1.2789	1.5526	-1.2991	0.8221	0.4786	0.2499	0.8261	0.2564	-1.1894	-0.3869	0.9331	0.3338	1.1869	1.2224	0.7864	-0.1806	2.7430	0.7730	0.6836	0.7497	0.1889	1.2337	1.3446	-0.4298	0.0847	0.5018	0.2189	0.7665
1.4947	0.3660	1.3199	1.6974	0.1497	2.0019	-0.4010	-0.9406	0.2966	1.2893	0.3750	0.3859	1.2239	1.0426	-0.2269	0.1619	1.7293	-1.0719	0.5529	0.6073	1.2744	-0.0633	0.3557	-1.3522	0.9029	0.9240	0.6940	1.1270	0.4974	0.3719	0.6374	-0.0561	1.1133	1.2365	1.5902	1.4089	0.3208	1.5865	0.4920	1.5349	0.4661	0.4826	0.4106	1.3920	-0.0246	-1.1396	0.0035	0.7637	0.6526
0.0193	0.2874	0.8334	1.0099	-0.0088	1.5139	0.3013	-1.2467	0.6112	0.9467	1.2043	1.1335	0.7416	1.9889	0.4017	-0.6758	1.8569	0.1953	1.2427	0.5911	0.4486	0.4383	0.0667	0.8275	1.1207	1.0581	0.8074	0.6508	0.3940	-0.3246	0.9556	0.9703	0.6635	1.1789	1.7793	1.0133	-0.1766	1.2032	1.1889	1.9205	0.8944	-1.1443	0.6574	1.9887	-0.8160	0.2312	-0.4764	1.2734	0.7179
0.0885	0.7632	1.0444	0.6847	0.4878	1.9768	0.7745	-1.5595	0.5309	0.4826	0.8403	0.8877	1.4299	1.9493	0.3651	1.0447	1.7866	0.6398	0.3721	0.8503	1.5025	-0.1659	0.3869	0.4663	1.1712	0.4846	1.4832	0.8862	1.4263	0.7785	1.0560	0.8575	0.1465	0.0322	1.6661	1.1728	-0.6315	0.4545	0.9190	0.8557	0.5289	-0.1887	1.0277	0.6638	1.6841	-0.6585	-0.4164	0.2561	0.5037
0.6848	-0.0857	0.4671	0.1651	0.9610	0.6773	1.5441	-1.2028	0.6390	0.3629	0.6215	0.3739	-0.2176	0.5094	-0.0330	0.4158	0.8602	1.3124	0.8819	1.6510	0.4197	0.8004	-0.5113	0.9600	-0.6358	0.5384	0.1737	0.0069	1.2145	0.2621	1.1925	-0.3329	0.5318	0.4541	-0.7882	-0.3553	0.0078	-1.0294	0.2149	-0.3176	0.3304	-1.2858	0.3205	-0.5812	0.5916	-1.7574	-0.5602	-0.4920	0.2382
1.3080	0.2891	-0.3918	-0.1771	1.8318	-1.1363	2.2093	-1.4839	1.6411	-0.3922	0.0835	1.4618	-1.7827	0.2021	1.4829	-1.3374	0.7215	1.5097	1.4814	1.1917	-1.3559	1.4076	0.5484	1.3762	-1.5240	0.0525	-0.7712	-0.0283	0.0347	-1.2912	1.8730	0.4289	1.2256	1.0373	-1.6196	-1.5732	-0.8825	-1.3102	-0.4266	-0.5843	-0.1822	-1.4564	-0.7830	0.5612	-1.0666	0.6830	0.7940	-0.0679	1.6083
2.0022	0.0120	-0.1470	0.5437	0.5027	0.7265	1.2379	-0.9006	2.1344	0.6938	-0.3887	1.3762	-0.1453	0.0702	1.3465	0.0594	0.5360	0.3128	0.5803	1.1070	-0.9756	-0.2177	-0.4731	0.2498	-1.2114	0.1285	0.0052	0.5188	-0.3857	0.7098	2.0752	0.4936	-0.0020	1.3022	-1.2202	-0.9853	-0.3650	-0.1288	-0.9081	0.9915	0.3179	-0.5746	-0.5781	1.0439	-0.9956	0.8358	0.5786	0.1513	1.3619
-0.2289	-0.0635	1.2054	0.5764	-0.7544	1.3382	-1.1165	-0.1183	1.0368	-0.0009	-0.4554	-0.9313	0.6570	1.2668	1.4239	1.0033	0.4579	0.9673	0.9974	0.2093	1.1492	0.1889	-0.8188	0.9267	-0.0882	-0.9737	1.5565	0.6041	0.6888	0.7761	0.4933	-0.2733	0.6716	0.2552	1.1257	0.0700	-0.3203	-0.3501	0.3636	2.3167	0.4640	1.9583	-0.6848	0.8201	0.6852	1.7844	-0.8210	0.8764	0.2299
-0.3966	-0.9690	1.9102	0.7034	0.5188	0.8610	0.0571	1.1350	1.1586	0.0349	1.5492	0.2308	-0.0470	0.7825	0.7453	0.1722	-0.2953	1.7315	1.6688	0.9516	0.1175	-0.2488	0.2294	0.7012	0.6438	1.6743	1.5828	0.5282	0.3280	0.5434	-0.5183	-0.4439	0.4083	1.3423	0.1854	-0.4017	0.1094	0.1678	0.1490	1.6002	0.2208	-0.2753	-0.5342	0.4214	-0.8163	0.5919	-0.6859	1.3852	0.0768
